2187_CJL3564_MC_VC,0,1/1/2000,1/1/2000,1,10/16/2018,10/18/2018
2187_CLP1006_MC_VC,1,10/22/2018,10/24/2018,0,1/1/2000,1/1/2000
2187_CLP2140_MC_VC,0,1/1/2000,1/1/2000,1,12/10/2018,12/12/2018
2187_CNT4702_MC_VC,0,1/1/2000,1/1/2000,1,12/18/2018,12/20/2018
2187_COP1332_MC_VC,0,1/1/2000,1/1/2000,1,12/18/2018,12/20/2018
2187_COP1334_MC_VC,1,10/22/2018,10/24/2018,0,1/1/2000,1/1/2000
2187_COP2333_MC_VC,1,10/22/2018,10/24/2018,1,12/18/2018,12/20/2018
2187_COP2800_MC_VC,0,1/1/2000,1/1/2000,1,12/18/2018,12/20/2018
2187_COP2805C_MC_VC,0,1/1/2000,1/1/2000,1,12/18/2018,12/20/2018
2187_COP2822_MC_VC,0,1/1/2000,1/1/2000,1,12/18/2018,12/20/2018
2187_CTS1131_MC_VC,0,1/1/2000,1/1/2000,1,12/14/2018,12/18/2018
2187_CTS1134_MC_VC,0,1/1/2000,1/1/2000,1,12/14/2018,12/18/2018
2187_CTS2463_MC_VC,0,1/1/2000,1/1/2000,1,12/14/2018,12/18/2018
2187_DEP2000_MC_VC,1,10/22/2018,10/24/2018,0,1/1/2000,1/1/2000
2187_DSC1006_MC_VC,1,10/15/2018,10/17/2018,0,1/1/2000,1/1/2000
2187_DSC2242_MC_VC,0,1/1/2000,1/1/2000,1,12/14/2018,12/18/2018
2187_DSC2590_MC_VC,1,10/15/2018,10/17/2018,1,12/14/2018,12/18/2018
2187_EAP1600_MC_VC,1,10/22/2018,10/24/2018,0,1/1/2000,1/1/2000
2187_EAP1600L_MC_VC,1,10/22/2018,10/24/2018,0,1/1/2000,1/1/2000
2187_EAP1620_MC_VC,0,1/1/2000,1/1/2000,1,12/12/2018,12/14/2018
2187_EAP1640_MC_VC,0,1/1/2000,1/1/2000,1,12/12/2018,12/14/2018
2187_EAP1640L_MC_VC,0,1/1/2000,1/1/2000,1,12/12/2018,12/14/2018
2187_EAP1660_MC_VC,0,1/1/2000,1/1/2000,1,12/12/2018,12/14/2018
2187_ECO2013_MC_VC,1,10/17/2018,10/19/2018,1,12/12/2018,12/14/2018
2187_ECO2023_MC_VC,1,10/17/2018,10/19/2018,1,12/12/2018,12/14/2018
2187_ECO2301_MC_VC,1,10/17/2018,10/19/2018,0,1/1/2000,1/1/2000
2187_EDF1005_MC_VC,0,1/1/2000,1/1/2000,1,12/10/2018,12/12/2018
2187_EDF2085_MC_VC,1,10/15/2018,10/17/2018,1,12/10/2018,12/12/2018
2187_EME2040_MC_VC,0,1/1/2000,1/1/2000,1,12/10/2018,12/12/2018
2187_ENC0015_MC_VC,0,1/1/2000,1/1/2000,1,10/16/2018,10/18/2018
2187_ENC0025_MC_VC,0,1/1/2000,1/1/2000,1,10/16/2018,10/18/2018
2187_ENC1101_MC_VC,1,10/24/2018,10/26/2018,0,1/1/2000,1/1/2000
2187_ENC1102_MC_VC,0,1/1/2000,1/1/2000,1,12/14/2018,12/18/2018
2187_ENC2300_MC_VC,1,10/24/2018,10/26/2018,0,1/1/2000,1/1/2000
2187_ENT2502_MC_VC,0,1/1/2000,1/1/2000,1,12/12/2018,12/14/2018
2187_ESC1000_MC_VC,1,10/15/2018,10/17/2018,1,12/10/2018,12/12/2018
2187_FIN2000_MC_VC,1,10/22/2018,10/24/2018,1,12/14/2018,12/18/2018
2187_FIN2010_MC_VC,1,10/22/2018,10/24/2018,0,1/1/2000,1/1/2000
2187_FIN2100_MC_VC,1,10/22/2018,10/24/2018,1,12/14/2018,12/18/2018
2187_FIN3400_MC_VC,0,1/1/2000,1/1/2000,1,12/18/2018,12/20/2018
2187_FIN3403_MC_VC,1,9/24/2018,9/26/2018,1,10/16/2018,10/18/2018
2187_FOT2826_MC_VC,1,10/22/2018,10/24/2018,0,1/1/2000,1/1/2000
2187_EVR1001_MC_VC,0,1/1/2000,1/1/2000,1,12/18/2018,12/20/2018
2187_GEB1011_MC_VC,1,10/15/2018,10/17/2018,0,1/1/2000,1/1/2000
2187_GEB2112_MC_VC,1,10/15/2018,10/17/2018,0,1/1/2000,1/1/2000
2187_GEB2350_MC_VC,0,1/1/2000,1/1/2000,1,12/10/2018,12/12/2018
2187_HFT1000_MC_VC,1,10/17/2018,10/19/2018,1,12/12/2018,12/14/2018
